metabolite_id,sage_value,sage_value_sd
p23400_i0,0.00013414054543712327,8.814966544077273e-05
p23401_i0,0.0022738402853238263,0.0005487999706426281
p23402_i0,0.01608347504645706,0.0012261900088478515
p23403_i0,0.002608564138920664,0.0005202680856502715
p23404_i0,0.002128608122971691,0.0006623039217821122
p23405_i0,0.0050502081264069375,0.00175160856172148
p23406_i0,0.00034314772336987016,0.00012256225997062526
p23407_i0,0.013984842156714163,0.0014741104197032425
p23408_i0,0.017015800801460024,0.0016402038990881013
p23409_i0,0.01158532043936857,0.0011503399370969623
p23410_i0,0.01995132122555871,0.0015707888763923038
p23411_i0,0.00034569336375494164,0.00012549059201287665
p23412_i0,0.0007956090557946769,0.0004595507680979372
p23413_i0,0.000642214473521771,0.00037458680249524885
p23414_i0,0.0005529032966722493,0.0003598471763231647
p23415_i0,-5.920153650524167e-05,0.00010216135769417574
p23416_i0,0.013557586115172,0.0011889967093642985
p23417_i0,0.005842647021835468,0.002163229842522362
p23418_i0,-3.945851906629968e-05,3.433627278644192e-05
p23419_i0,0.002864852641305589,0.0006473912648845447
p23420_i0,0.0002282923946919642,0.0003302029739106118
p23421_i0,0.0008838959710401702,0.0013932208936614226
p23422_i0,0.004886546373128599,0.0006745891456156719
p23423_i0,0.046799753421013744,0.0024341821737373748
p23424_i0,0.006356791614055716,0.00108467066736531
p23425_i0,0.0009433848777974825,0.0005153949646654992
p23426_i0,-0.00015520775087638142,0.00012421179918840506
p23427_i0,0.008267665486216075,0.001024538880870424
p23428_i0,-9.938640466501667e-05,8.992680481026657e-05
p23429_i0,0.016304012236598588,0.002008946386699388
p23430_i0,0.010412317103095281,0.001087828394494088
p23431_i0,0.0001521093880230688,0.00024324623879176614
p23432_i0,5.034681528028725e-05,3.564102738750189e-05
p23433_i0,0.00014988234382745216,0.0001774673056603134
p23434_i0,0.000621823650767241,0.0003338614085448513
p23436_i0,-9.149558155557875e-05,0.000172521881353972
p23437_i0,0.00042664910967459766,0.0003645841711101451
p23438_i0,-2.647087084760727e-05,4.354285267756873e-05
p23439_i0,0.0021787457074176624,0.0006690129204074417
p23440_i0,0.0019508320548907796,0.0005651205632130253
p23442_i0,0.04832246088144857,0.0027586765816389872
p23443_i0,0.000138522633087053,6.995851230082439e-05
p23444_i0,0.004008808677333241,0.0005488310423997776
p23445_i0,0.059527285555372234,0.002603490812990767
p23446_i0,0.059768304681877625,0.0025722785576593357
p23447_i0,0.030183169993133804,0.002344993111940394
p23448_i0,0.009070243527990834,0.0011333053252240014
p23449_i0,0.13506046710349798,0.0038647812856501076
p23450_i0,5.094072024171721e-05,0.00022878474624644067
p23460_i0,-1.3292080038597114e-05,4.830287687478842e-05
p23461_i0,0.005453020350901808,0.0007533102197684612
p23462_i0,0.006427877493587597,0.0007525610802891772
p23463_i0,0.001787770744273828,0.0004089512026529469
p23464_i0,0.0007057357722075872,0.0003412348831576934
p23465_i0,0.004168981698670472,0.0006879136888455264
p23466_i0,-6.220491309814067e-05,0.00020456296422384265
p23467_i0,0.0007196882718274055,0.0002750874664376468
p23468_i0,0.0011167512079767606,0.00035283283147132275
p23469_i0,0.00021552408002315185,6.989860553721267e-05
p23470_i0,0.001782497506082937,0.0004736396015511915
p23471_i0,0.0018960724040663192,0.0003393673886120967
p23472_i0,0.001381677062283356,0.0002910986296453071
p23473_i0,0.0017188863705062064,0.00041310802562990047
p23474_i0,0.01257928432165674,0.0016375605402228323
p23475_i0,0.004279770917825901,0.0007646080428314969
p23476_i0,0.005485734721520119,0.0007060257310433952
p23477_i0,0.0016808355890431982,0.0005262579755738804
p23478_i0,0.002330637297057476,0.0005962406566862295
p23479_i0,0.00021038343429616942,0.00011633117000392063
p23480_i0,-0.0005492587467149255,0.0002973318065115564
p23481_i0,-0.0002214394298493576,0.0001011144427628765
p23482_i0,0.005435727303844128,0.0009096828856349304
p23483_i0,0.005968642105015205,0.0006654063007967325
p23484_i0,0.00012672648233741452,3.058540325740311e-05
p23485_i0,0.0007366063389807326,0.00017073186664961622
p23486_i0,-0.00022109440306831418,0.00010968362031489141
p23487_i0,0.02513225761796949,0.001682329836127835
p23488_i0,0.0019465333951007987,0.0004282606077849505
p23489_i0,-0.00019315989589202217,0.00012585250992787255
p23490_i0,0.010808944152025336,0.0012069885573614372
p23491_i0,0.003685418474592644,0.0006122949947063631
p23492_i0,0.009146445112311993,0.0010631134131230892
p23493_i0,0.0005318332843629363,0.00015481055299728101
p23494_i0,0.0011289911624104685,0.0004823130789513944
p23495_i0,0.0007261352966416763,0.000591413581366268
p23496_i0,0.003451538888961289,0.0008980951589765602
p23497_i0,0.020316822394274077,0.0019589053650939407
p23498_i0,0.0029662366690279903,0.0005128804689137654
p23499_i0,0.005813994003794281,0.0008875182874865219
p23500_i0,0.0009976566389523194,0.00024648174471594603
p23501_i0,0.025948891277110413,0.0019957599677007283
p23502_i0,0.0028609819218986996,0.0008611711078809844
p23503_i0,0.01144517347900461,0.0013851136132127801
p23504_i0,0.001752568903523249,0.0005246084372004671
p23505_i0,0.0003007458303939761,0.00028094649518444094
p23506_i0,0.0011699066538759892,0.0007331988603218006
p23507_i0,0.00043498248971743527,0.00033273703932858005
p23508_i0,0.02151567095541098,0.0023228893359701864
p23509_i0,-4.022989381216334e-05,0.0002192116426343333
p23510_i0,0.0002711716550893428,0.00011162742061509676
p23511_i0,0.001951346663484572,0.0004625459817428719
p23512_i0,0.029048468366121356,0.0018828967661757019
p23513_i0,0.044798599793383236,0.002321954443699755
p23514_i0,0.004504449725333016,0.000889194438797479
p23515_i0,0.00924511404776743,0.0010914152119118432
p23516_i0,0.05241003539625073,0.00240969220229084
p23517_i0,0.04557625547577642,0.0021702731059961068
p23518_i0,0.02068320402618118,0.0015929325754636592
p23519_i0,0.06108733721961292,0.0028156619955834673
p23520_i0,0.06246961469186584,0.002961615378086419
p23521_i0,0.04830632665958818,0.0024061294869438727
p23522_i0,0.0005980524509035456,0.00024490378339460974
p23523_i0,0.0428646921470082,0.0024411867168468828
p23524_i0,0.02430735903478195,0.0020497035685465995
p23525_i0,0.011705025184961484,0.0015644659312962768
p23526_i0,0.023484595178667654,0.00196138677577882
p23527_i0,0.024104387581627997,0.0020739340562325533
p23528_i0,0.022683682099631435,0.002071244463547333
p23529_i0,0.0008172642529558904,0.0003394770006525415
p23530_i0,0.019738399587568317,0.0018120477014179016
p23531_i0,1.4535151821626755e-05,0.0002136821893460199
p23532_i0,0.020320075406344434,0.002021916594099368
p23533_i0,0.002260050774391857,0.0016868996974543134
p23534_i0,0.0041108711758696456,0.0017225738758596342
p23535_i0,-0.0005297817266076132,0.0005482782787688442
p23536_i0,0.0015450864501910483,0.00039665756697406196
p23537_i0,0.00012645164237918524,5.096928281042889e-05
p23538_i0,0.000853139924541416,0.0004901163864918257
p23539_i0,-0.0005445075033592211,0.0002976149352420287
p23540_i0,-0.0004927536406560452,0.001321775048244238
p23541_i0,-0.000823639038447191,0.0011271174432465904
p23542_i0,-0.0005076186980657836,0.0013101814365387562
p23543_i0,0.028858653900439082,0.0018735830570271298
p23544_i0,0.04704603960550094,0.003082256539006618
p23545_i0,0.06370250678624739,0.004274473652928388
p23546_i0,0.10774343563518853,0.004878379504975331
p23547_i0,0.021253533902992273,0.0024215657770288337
p23548_i0,0.020336853407312453,0.0023578485367692957
p23549_i0,0.015374558968928887,0.0033244529408738457
p23550_i0,0.05020052954241428,0.002457957448041903
p23551_i0,0.12995345215114698,0.005004865760063051
p23552_i0,0.09190029015622106,0.0038278476994763415
p23553_i0,0.0953037083369579,0.006601137148125488
p23554_i0,0.0930904572929402,0.004053281187151861
p23555_i0,0.0964967398479608,0.0067472360785393835
p23556_i0,0.09967318903221271,0.004057164819927635
p23557_i0,0.09385896326640897,0.003063755948402646
p23558_i0,0.024236647675870183,0.0018769346656439595
p23559_i0,0.014301228294242796,0.0012230435866983588
p23560_i0,0.009009715630128978,0.0010026541744688764
p23561_i0,0.01947137112885384,0.0019325727560003812
p23562_i0,0.01681780507392747,0.0016811816269334415
p23563_i0,0.029264291023816436,0.002865796112995792
p23564_i0,-0.0001715599725867345,6.14397719293247e-05
p23565_i0,0.009251730911474654,0.0011761900602171326
p23566_i0,0.012193277310311766,0.0012422055404538396
p23567_i0,0.015030051401118308,0.0013584345227182382
p23568_i0,0.01096061037479423,0.0015642475788973473
p23569_i0,0.011021052466710174,0.0014317437410658912
p23570_i0,0.0021818913075778027,0.0007889921650585643
p23571_i0,0.05888407283096139,0.002632330854733198
p23572_i0,0.06262963828366752,0.0025637549667983407
p23573_i0,0.06929858825562936,0.0026670353162334378
p23574_i0,0.06390037593273058,0.00254497174766311
p23575_i0,0.05656049224892779,0.0023786396804237313
p23576_i0,0.06335442921155128,0.002593403929107183
p23577_i0,0.022870891574150544,0.0015318553646499649
p23578_i0,0.03526475630776946,0.0023367767991788885
