pathway_name,sage_value,sage_value_sd
Aromatic amino acids,0.2808062000883062,0.0009802892210504267
Branched-chain amino acids,0.6677890115198856,0.0023084095881935047
Chylomicrons and extremely large VLDL (particle diameters from 75 nm upwards),0.048877727060555404,0.0009024601664960289
IDL (average diameter 28.6 nm),0.09079515892394101,0.0008171905915385916
Large HDL (average diameter 12.1 nm),0.08016292910700923,0.0010223724961014933
Large LDL (average diameter 25.5 nm),0.4509070098417557,0.026872672514612665
Large VLDL (average diameter 53.6 nm),0.07400466266172755,0.00111374071102736
Medium HDL (average diameter 10.9 nm),0.6713360497714382,0.004685888995513647
Medium LDL (average diameter 23 nm),0.6013118293583769,0.034712762510754426
Medium VLDL (average diameter 44.5 nm),0.11075717640707121,0.0010850534076060916
Small HDL (average diameter 8.7 nm),0.3786219486893826,0.00221648597389586
Small LDL (average diameter 18.7 nm),0.2772953902673403,0.012651347686166492
Small VLDL (average diameter 36.8 nm),0.033196896214419694,0.00022623771126256865
Very large HDL (average diameter 14.3 nm),0.3643464406007345,0.002217579322631999
Very large VLDL (average diameter 64 nm),0.04376660156884227,0.0009347154311590827
Very small VLDL (average diameter 31.3 nm),0.6944373676122874,0.0031003540161823784
p23400_i0,0.06761358068308881,0.0008189930907663006
p23401_i0,0.02881056301291574,0.0006048155900649229
p23402_i0,0.0008099680660486358,5.4122988608449696e-05
p23403_i0,1.520897860468491e-05,1.1297072297952704e-06
p23404_i0,0.03769291895879207,0.0012715711336833148
p23405_i0,0.13236909546169004,0.01156928298900118
p23406_i0,0.02967348731015091,0.00027075996792497625
p23407_i0,0.019211585029656315,0.00025376189574093913
p23408_i0,0.020228766823021414,0.0002473790051895857
p23409_i0,0.0011482849412282707,0.00011583116359016767
p23410_i0,0.02587628444240984,0.00033566293336264946
p23411_i0,0.07747741732374037,0.00041624423214012594
p23412_i0,0.0023324355214154337,9.490638351895912e-05
p23413_i0,0.01094184585213821,0.00037296438408706054
p23414_i0,0.03686155842279785,0.00027505148764365826
p23415_i0,0.07047070854606692,0.0007769950164366309
p23416_i0,0.0039803624475500225,7.900102978683103e-05
p23417_i0,0.18750294362714937,0.016452103079305905
p23418_i0,0.028595083620341712,0.00027195015284740045
p23419_i0,0.048340004167829485,0.00063380622919598
p23420_i0,0.002631556511314868,9.58428589148856e-05
p23421_i0,0.049447840611550935,0.005117794477510367
p23422_i0,0.03213169071918174,0.00026143185487297337
p23423_i0,0.33415804463221827,0.001145770774533673
p23424_i0,0.00949949934590871,0.0001784192492403053
p23425_i0,0.05828364753478806,0.0012088609601505998
p23426_i0,0.03702634233025369,0.00027805277138235094
p23427_i0,0.07013851697655278,0.00042137216534139356
p23428_i0,0.00043955297106838375,1.9028292794018626e-05
p23429_i0,0.02538050953043959,0.0005671593718406668
p23430_i0,0.07191443955375916,0.00041936618608545104
p23431_i0,0.15047311924183218,0.0005795247273734931
p23432_i0,0.1684277702908338,0.000613601211615243
p23433_i0,0.15433691245254375,0.0005833482494059291
p23434_i0,0.13672238929127642,0.0005641716469932145
p23436_i0,0.07896295743611345,0.0004168207782195455
p23437_i0,0.1141680923902939,0.0005212604362204371
p23438_i0,0.0011594256693530046,5.297622245252785e-05
p23439_i0,0.033588279742010646,0.0005893485501390773
p23440_i0,0.0321278144955288,0.00025647526264132664
p23442_i0,0.14726441375915647,0.0006710904911119549
p23443_i0,0.15960907269466826,0.0006087677738013152
p23444_i0,0.007741831314606922,0.00012750449327807745
p23445_i0,0.017495561407268913,0.0002252530939374479
p23446_i0,0.023306747832205585,0.00024403815636136
p23447_i0,0.08327527479528049,0.0005644291254408578
p23448_i0,0.16967269062103815,0.0007793178523181823
p23449_i0,0.07157527357021545,0.0006227170059386127
p23450_i0,8.237716273081484e-06,4.948200280409718e-06
p23460_i0,0.08948191290149066,0.00040274703700796696
p23461_i0,0.11671898780155485,0.0005221825426176074
p23462_i0,0.015435111306736977,0.00018628423358579572
p23463_i0,0.128074991895153,0.0004918369225336282
p23470_i0,0.04149778220902539,0.000293681579457602
p23471_i0,0.02044174153805459,0.00019159187580755207
p23472_i0,0.025915137921073292,0.0002494342956611119
p23473_i0,0.08402785033871163,0.00041423181490125676
p23474_i0,0.004702481985078729,0.00011833784774511967
p23475_i0,0.014454949942597337,0.00017590619271919887
p23476_i0,5.955138172452035e-05,2.2316429644806963e-05
p23477_i0,0.06728609840463805,0.0003864432158813877
p23478_i0,0.07114114687574953,0.0003714214021686035
p23479_i0,0.07610454041025859,0.0004027523904721144
p23480_i0,0.06488380472132699,0.00047911248023117196
