pathway_name,sage_value,sage_value_sd
Amino acids,-1.3604785906058958,0.06783557221965501
Apolipoproteins,-0.033357685160649894,0.0037208649459284484
Cholesterol,-2.3011398966219625,0.11689274114677635
Cholesteryl esters,-0.4241543785978162,0.021465529171717998
Fatty acids,-0.5662349624906919,0.042026838807990366
Fluid balance,0.8961856987134666,0.04106613923637875
Free cholesterol,0.08081225966369074,0.003982753866336695
Glycolysis related metabolites,0.001035168741261061,0.00146152072526726
Inflammation,-0.695586365668956,0.03334366780328319
Ketone bodies,0.11791634912118965,0.006860202007378421
Lipoprotein particle concentrations,-8.90042183912485e-05,4.105401493157237e-06
Lipoprotein particle sizes,63.49717983400476,0.17199152228678266
Lipoprotein subclasses,-0.01867478850717033,0.016982399493856624
Other lipids,0.16606390826059844,0.007752909153611897
Phospholipids,1.128623575674451,0.05314975055878396
Total lipids,3.0447351385264847,0.1405212259816944
Triglycerides,-0.12950290923729124,0.009237821270289078
