pathway_name,sage_value,sage_value_sd
Aromatic amino acids,0.0012631745133174545,0.0004726500972925252
Branched-chain amino acids,0.009763964287644956,0.0018585301348254687
Chylomicrons and extremely large VLDL (particle diameters from 75 nm upwards),0.03665424593810689,0.002618363086531038
IDL (average diameter 28.6 nm),0.17478162482465073,0.014907519175842359
Large HDL (average diameter 12.1 nm),0.09052749599326762,0.012267367767023323
Large LDL (average diameter 25.5 nm),0.06178835700314546,0.009458473813347239
Large VLDL (average diameter 53.6 nm),0.0642977044429089,0.002339417085337399
Medium HDL (average diameter 10.9 nm),0.12256928339438217,0.012553968654621646
Medium LDL (average diameter 23 nm),0.04640229974497403,0.009631307594094689
Medium VLDL (average diameter 44.5 nm),0.04358846579646081,0.005418456999714043
Small HDL (average diameter 8.7 nm),0.3666762855843517,0.01742667196997778
Small LDL (average diameter 18.7 nm),0.3416090556117035,0.02326882450880037
Small VLDL (average diameter 36.8 nm),0.10123661687511204,0.006680157696352885
Very large HDL (average diameter 14.3 nm),0.6417624136547294,0.03147201128745403
Very large VLDL (average diameter 64 nm),0.03019953175652669,0.003960635865237745
Very small VLDL (average diameter 31.3 nm),0.32533974236487306,0.016729769650543166
p23400_i0,2.2046366307226287e-05,0.00013517977890067535
p23401_i0,0.0018410400180261827,0.0008789347785440322
p23402_i0,0.0184928229580485,0.0016598373274907998
p23403_i0,0.003619030608218183,0.0006759696441692322
p23404_i0,0.0009184383569971845,0.0012975159173691437
p23405_i0,0.00324807457364927,0.0025442574610568857
p23406_i0,0.00037344060986841743,0.00017196702600383583
p23407_i0,0.013861291955615434,0.0019073668852497918
p23408_i0,0.016552831866789353,0.0020566312440108325
p23409_i0,0.01017257331940681,0.0014883078439215827
p23410_i0,0.02228588779853895,0.0020454458702918333
p23411_i0,0.00015722842383056847,0.00016740285098883824
p23412_i0,0.00022298654230061332,0.0006037368334997939
p23413_i0,0.0003792325589625386,0.0005382819164141838
p23414_i0,0.0010862798136244442,0.0004927805073628676
p23415_i0,-2.7423557192502273e-05,0.00014888516496816125
p23416_i0,0.013558339439944559,0.0015652576954774807
p23417_i0,0.009691147651748755,0.003546903931246056
p23418_i0,-5.4403888800260116e-05,4.8557536054440016e-05
p23419_i0,0.002220455296442372,0.0009169835948167975
p23420_i0,0.00010074095171538933,0.00042163879613415904
p23421_i0,0.0023899475735094616,0.002535313648413809
p23422_i0,0.004284212105531355,0.0008948477641580441
p23423_i0,0.046009605746675966,0.0031071587922007755
p23424_i0,0.006436714813624099,0.0014146402455604372
p23425_i0,0.0021087637356678344,0.0008776430641095262
p23426_i0,7.117346296988485e-05,0.00016905729946398984
p23427_i0,0.009744472576572072,0.0014269418782284107
p23428_i0,-0.00010264931916322071,0.00011559754703402967
p23429_i0,0.020113981053622092,0.002859084206362707
p23430_i0,0.00969877344305914,0.0014850164175146993
p23431_i0,0.0006723938196873749,0.00032519722726982394
p23432_i0,3.203047958391497e-05,4.846553783508555e-05
p23433_i0,0.0003382148325543276,0.00022922440074355592
p23434_i0,0.001142631863915219,0.00044728165441244915
p23436_i0,0.00010056085910634028,0.0002392880504466243
p23437_i0,0.0007345270227380702,0.0004882555675412032
p23438_i0,-1.1078346569001946e-06,5.887998938045108e-05
p23439_i0,0.0019335653715183392,0.0008955031655996999
p23440_i0,0.0023559713451364443,0.0008067319049271498
p23442_i0,0.05472739930774485,0.0034294689948956253
p23443_i0,2.9506728569623365e-05,9.281347410654674e-05
p23444_i0,0.003364382180947778,0.0006723095901129999
p23445_i0,0.06325849961723311,0.003527806925551165
p23446_i0,0.06066947517113537,0.003343766146757089
p23447_i0,0.02751745162611987,0.0030761843935649515
p23448_i0,0.008661338130543109,0.00143395986647671
p23449_i0,0.13878494819090448,0.00530202763491588
p23450_i0,-9.80453527819233e-05,0.0003140815897109277
p23460_i0,0.00011833838714087148,6.476412820088124e-05
p23461_i0,0.005895439733030713,0.0008979504548899013
p23462_i0,0.007136069702650572,0.0009604189391559826
p23463_i0,0.0023340371168608385,0.0005189832218872387
p23470_i0,0.0023014738407986417,0.0006358838190502745
p23471_i0,0.0017367016005111462,0.00044523006884620046
p23472_i0,0.0018593628214844458,0.0003423663512550296
p23473_i0,0.0018601340330247568,0.0005463949653680812
p23474_i0,0.012073555359400589,0.0021213416596810785
p23475_i0,0.006250201884789355,0.0009661560740518832
p23476_i0,0.007305571551900998,0.0008663448025447564
p23477_i0,0.001078772829674805,0.0007217037141413587
p23478_i0,0.003732501560406511,0.0007440440684211806
p23479_i0,-8.556903304810004e-06,0.00015752643592475092
p23480_i0,3.405275563947233e-05,0.0003773348442804004
