pathway_name,sage_value,sage_value_sd
Amino acids,0.895972294567617,0.11468632482835002
Apolipoproteins,0.02764231107967403,0.004779181740002256
Cholesterol,0.26859734064941937,0.05803792073257014
Cholesteryl esters,0.1259246767611654,0.03227186900796675
Fatty acids,0.23976904114248385,0.030593344785340062
Fluid balance,0.20305114001469304,0.02698261598510872
Free cholesterol,0.3212637361453842,0.04629923723474644
Glycolysis related metabolites,0.3017865024971957,0.03604684084804984
Inflammation,0.24667385097097858,0.021099045453497504
Ketone bodies,0.15413726534483146,0.015883747069579075
Lipoprotein particle concentrations,0.06663466739721034,0.024938745907955855
Lipoprotein particle sizes,0.2518406826171715,0.04586190576078741
Lipoprotein subclasses,13.152411700288274,0.6529384804693382
Other lipids,0.33668126013089933,0.026032575449928597
Phospholipids,0.3552162023943777,0.037441545152918
Total lipids,0.2969045440280638,0.03322287015425802
Triglycerides,0.2131254637517476,0.02673238204438974
