model,mse_cormat,mse,seed,data,d_dim
Poly,1.1773533835507837,21318.48290183956,17,BB Train,18
Cosine,6.475634808524628e-29,2.900062197720182e-6,17,BB Train,18
Sigmoid,5.029995647132605e-31,2.9000621977205887e-6,17,BB Train,18
RBF,5.871818380011069e-31,2.900062197732078e-6,17,BB Train,18
Poly,8.872398954776661e-13,2.90018502163009e-6,18,BB Train,18
Cosine,6.639195641316749e-29,2.900062197720547e-6,18,BB Train,18
Sigmoid,5.1986546368583475e-31,2.900062197720594e-6,18,BB Train,18
RBF,6.580496845095312e-31,2.9000621977319876e-6,18,BB Train,18
Poly,1.1779983866599337,21318.482901839456,19,BB Train,18
Cosine,6.47125386567622e-29,2.900062197720787e-6,19,BB Train,18
Sigmoid,5.2842898961530285e-31,2.9000621977204333e-6,19,BB Train,18
RBF,5.426163750652429e-31,2.900062197732007e-6,19,BB Train,18
Poly,8.744093988165301e-13,2.9001850203791257e-6,20,BB Train,18
Cosine,6.580823595598881e-29,2.900062197720651e-6,20,BB Train,18
Sigmoid,5.241654480347974e-31,2.900062197720417e-6,20,BB Train,18
RBF,5.117256409648306e-31,2.9000621977315467e-6,20,BB Train,18
Poly,2.700059589138869e-19,2.9000621956112602e-6,21,BB Train,18
Cosine,6.659051558827321e-29,2.9000621977205616e-6,21,BB Train,18
Sigmoid,5.177112545635978e-31,2.900062197720507e-6,21,BB Train,18
RBF,5.607997587084769e-31,2.900062197731762e-6,21,BB Train,18
Poly,8.646751711058725e-13,2.900185017233083e-6,22,BB Train,18
Cosine,6.695388197543556e-29,2.9000621977208906e-6,22,BB Train,18
Sigmoid,5.29742705247785e-31,2.900062197720428e-6,22,BB Train,18
RBF,6.425985022398877e-31,2.9000621977315815e-6,22,BB Train,18
Poly,1.1774835779194845,21318.48290183946,23,BB Train,18
Cosine,6.458610478394285e-29,2.9000621977204443e-6,23,BB Train,18
Sigmoid,5.021078044883014e-31,2.900062197720507e-6,23,BB Train,18
RBF,7.552276114079518e-31,2.9000621977316005e-6,23,BB Train,18
Poly,1.0934513804197336e-15,2.9000622754173903e-6,24,BB Train,18
Cosine,6.64188442292275e-29,2.9000621977207395e-6,24,BB Train,18
Sigmoid,5.246643038013291e-31,2.9000621977205696e-6,24,BB Train,18
RBF,6.860634734712296e-31,2.900062197731515e-6,24,BB Train,18
Poly,1.1756044095121916,21318.48290183962,25,BB Train,18
Cosine,6.483575326518931e-29,2.900062197720588e-6,25,BB Train,18
Sigmoid,5.097059514673488e-31,2.900062197720577e-6,25,BB Train,18
RBF,5.437199068894448e-31,2.9000621977324175e-6,25,BB Train,18
Poly,1.1842465175097343,63955.44869971852,26,BB Train,18
Cosine,6.285222633491732e-29,2.900062197721e-6,26,BB Train,18
Sigmoid,4.902383221886149e-31,2.900062197720536e-6,26,BB Train,18
RBF,6.0794921411001255e-31,2.9000621977319398e-6,26,BB Train,18
