model,mse_cormat,mse,seed,data,d_dim
VAE,2.27291630343637e-4,0.01982820271427816,49,BB Train,18
PCA,0.0014286963151016704,0.061136524423755396,49,BB Train,18
VAE,2.2496493982454102e-4,0.019784635892029178,50,BB Train,18
PCA,0.0014105110022408001,0.061115586335814945,50,BB Train,18
VAE,2.7204431326220967e-4,0.020397325630936006,51,BB Train,18
PCA,0.0013875093463666633,0.06152122248383682,51,BB Train,18
VAE,2.688428608280873e-4,0.020459272071895507,52,BB Train,18
PCA,0.0014035826237802696,0.06190487387976446,52,BB Train,18
VAE,2.2651489041963462e-4,0.01947610799507531,53,BB Train,18
PCA,0.001385694391973621,0.05950855929291622,53,BB Train,18
VAE,2.2617244565823508e-4,0.01966927559068764,54,BB Train,18
PCA,0.0014151675923392499,0.06093611989927997,54,BB Train,18
VAE,2.707328505690408e-4,0.020113361670851693,55,BB Train,18
PCA,0.001370479044154843,0.06029265713945147,55,BB Train,18
VAE,1.967222360772466e-4,0.018855480315970057,56,BB Train,18
PCA,0.0014927089642731354,0.0602099024718291,56,BB Train,18
VAE,2.2669695327408873e-4,0.019661298407117084,57,BB Train,18
PCA,0.0013929206084633055,0.060507287843251295,57,BB Train,18
VAE,1.9924653644793516e-4,0.01891078664419052,58,BB Train,18
PCA,0.0014614505279898803,0.06003868037245061,58,BB Train,18
VAE,1.979483224850544e-4,0.019102462355701455,59,BB Train,18
PCA,0.0014990428848762052,0.06088143935190319,59,BB Train,18
VAE,2.2083509027168402e-4,0.01971834171340141,60,BB Train,18
PCA,0.0014006571988731313,0.06133431432014385,60,BB Train,18
VAE,1.9729772393024984e-4,0.018839427053133802,61,BB Train,18
PCA,0.0016065033454282325,0.06158026783342903,61,BB Train,18
VAE,1.9624098780869663e-4,0.018793823089192425,62,BB Train,18
PCA,0.0013924815996065316,0.058951339604666454,62,BB Train,18
VAE,2.0108114387961794e-4,0.01892005506964913,63,BB Train,18
PCA,0.0014325346514756853,0.05908664189868815,63,BB Train,18
VAE,1.9944299606688024e-4,0.019088822954386617,64,BB Train,18
PCA,0.0016860146684424498,0.06268082958671743,64,BB Train,18
VAE,2.750696051796639e-4,0.020565302911080937,65,BB Train,18
PCA,0.0014383449858360233,0.062243006862150216,65,BB Train,18
VAE,1.9829953435217902e-4,0.018800124864926167,66,BB Train,18
PCA,0.0014910594063886498,0.06006143053449695,66,BB Train,18
VAE,2.2840151538538884e-4,0.019769098603218665,67,BB Train,18
PCA,0.0014090273976305407,0.060583822756439296,67,BB Train,18
VAE,1.9863612376492152e-4,0.01921007370785231,68,BB Train,18
PCA,0.0015603831113238352,0.062479975902347856,68,BB Train,18
VAE,3.8759580303050187e-4,0.021646891357508413,69,BB Train,18
