pathway_name,sage_value,sage_value_sd
Amino acids,0.00012062482483126725,8.761025192415086e-05
Apolipoproteins,0.011106772070453803,0.0006057903761088792
Cholesterol,0.15925229200260216,0.007091469104336704
Cholesteryl esters,0.05448230429421547,0.0029048625626922897
Fatty acids,0.05880663979417866,0.00448169998133822
Fluid balance,0.012591511478175332,0.00693712182544102
Free cholesterol,0.0067587901392720875,0.0003635655969860906
Glycolysis related metabolites,0.004687009053866764,0.0023685948034194455
Inflammation,-1.1648990500226497e-05,6.540355621130433e-05
Ketone bodies,8.085764216821112e-05,4.788403459989068e-05
Lipoprotein particle concentrations,9.230437155982206e-05,8.012297512980046e-06
Lipoprotein particle sizes,-0.009903172111416558,0.002769218440148232
Lipoprotein subclasses,0.08751413943286884,0.004505989916994879
Other lipids,-0.001625062015593804,0.0002917682460638141
Phospholipids,-0.010602062226949788,0.0008242521121676471
Total lipids,0.028973387074236558,0.00160650396920358
Triglycerides,-0.000709943327776491,0.004381912805411226
