pathway_name,sage_value,sage_value_sd
Amino acids,0.0017760833505638767,0.0004776991852528189
Apolipoproteins,-0.0028513606430953286,0.0008774556057619845
Cholesterol,0.009602681940785384,0.005436347319033587
Cholesteryl esters,0.029848837632737844,0.0009169125916702527
Fatty acids,0.13921220853842822,0.007771625117835717
Fluid balance,-0.011588286681589503,0.0014369069154754582
Free cholesterol,0.0004761602946004314,0.0010302167445380395
Glycolysis related metabolites,0.0016028814875250325,0.0010393660983337965
Inflammation,0.007502776671040523,0.0003861522153452229
Ketone bodies,-0.0006960386880955325,0.00014946602549150375
Lipoprotein particle concentrations,3.1643964655950445e-05,4.191981809186854e-06
Lipoprotein particle sizes,0.06866437017725398,0.01764648608218475
Lipoprotein subclasses,0.3534854604042552,0.013041382375467257
Other lipids,-0.0573525693843353,0.0040690500363962595
Phospholipids,-0.0032163641994741544,0.0009750836229385011
Total lipids,0.21610349935113712,0.00793942659902673
Triglycerides,0.19085467977362694,0.011125529429286723
