pathway_name,sage_value,sage_value_sd
Aromatic amino acids,-6.034256278915871e-06,7.83494887379768e-06
Branched-chain amino acids,0.00017663113026258198,0.00010656010363384403
Chylomicrons and extremely large VLDL (particle diameters from 75 nm upwards),-0.01946735029456448,0.002110936589319184
IDL (average diameter 28.6 nm),-0.00039210105387260663,0.0009683660078315764
Large HDL (average diameter 12.1 nm),0.0038103897323709113,0.0009097369022753999
Large LDL (average diameter 25.5 nm),0.03484117974533474,0.002611548333406188
Large VLDL (average diameter 53.6 nm),-0.02548114108987526,0.0017417954532676415
Medium HDL (average diameter 10.9 nm),-0.000623841971581246,0.00015905631098864283
Medium LDL (average diameter 23 nm),0.011800943897656513,0.0008083589728785601
Medium VLDL (average diameter 44.5 nm),-0.03885418584816347,0.0023592516560054086
Small HDL (average diameter 8.7 nm),0.0033241311044897304,0.00035772637503735566
Small LDL (average diameter 18.7 nm),-0.00035240549488537234,7.904774200701973e-05
Small VLDL (average diameter 36.8 nm),-0.023770217796942994,0.0013939055068376432
Very large HDL (average diameter 14.3 nm),-2.1450254415592007e-05,0.00012748937108242618
Very large VLDL (average diameter 64 nm),-0.011973078349691413,0.0009529597258392026
Very small VLDL (average diameter 31.3 nm),-0.014717566943892924,0.0009346354000331955
p23400_i0,0.11306281924527839,0.007111499465306318
p23401_i0,0.025681938945627092,0.0016783894391435975
p23402_i0,-0.003938243340028624,0.00037788734708028566
p23403_i0,0.005835581926976738,0.0003948215096636736
p23404_i0,0.04114481235023515,0.0031088085666712848
p23405_i0,-0.0263721970785884,0.0017804111132745134
p23406_i0,0.011216996418026426,0.0013535006961590665
p23407_i0,-0.010006870002528853,0.0008355477469511597
p23408_i0,-0.028365738494890103,0.0022113554849320797
p23409_i0,-0.00036458167583353074,4.4643389582103224e-05
p23410_i0,0.0019326978924960672,0.0002682050532620098
p23411_i0,-0.045296061242910746,0.002962310847318746
p23412_i0,0.006974011528124116,0.0004193170719722097
p23413_i0,-0.0032909521701303818,0.00024945687983441545
p23414_i0,0.026925289723569668,0.002709918587903198
p23415_i0,-0.003281938318257502,0.00042814440101417
p23416_i0,-0.005889029419267265,0.0004099124177935529
p23417_i0,0.01314167913104003,0.0008984579809351857
p23418_i0,0.004458352049347747,0.0006451286043506714
p23419_i0,-0.008538310041601466,0.0005523219822694717
p23420_i0,-0.000823518076253766,8.463464344794174e-05
p23421_i0,0.0008282536321388076,9.550253457412318e-05
p23422_i0,-0.00019367385712021866,4.197358935497909e-05
p23423_i0,0.21753800565526404,0.011731896669960962
p23424_i0,-0.015407543390526246,0.0010588420307608955
p23425_i0,0.08539179272648013,0.005521931023759363
p23426_i0,-0.01364904613148088,0.0014256079480926165
p23427_i0,8.151398877285053e-06,1.464912711527324e-06
p23428_i0,5.1768322317947285e-06,3.103659670329094e-07
p23429_i0,1.2009114288408923e-05,7.879417793498396e-07
p23430_i0,8.299876935742483e-06,1.4694087974900557e-06
p23431_i0,-0.010215479193743396,0.0012173775090817097
p23432_i0,7.189078861748535e-05,0.0002623367259887238
p23433_i0,0.0004534792185937747,0.00016433875512730903
p23434_i0,-0.0026836769092501156,0.0003389495653025643
p23436_i0,0.013800352263073669,0.0009000850167012
p23437_i0,-0.010191328831212931,0.0007610481778531559
p23438_i0,0.0007601874969175929,7.483711305806688e-05
p23439_i0,0.0019857464048601836,0.00017110652004949354
p23440_i0,0.003703155407149622,0.0003918833521586544
p23442_i0,0.4597902969220655,0.022930162089578928
p23443_i0,8.604656301642102e-05,4.568824132016883e-05
p23444_i0,-0.004294968304014157,0.00045319218833182555
p23445_i0,-0.08893956793223978,0.005568074283901136
p23446_i0,0.15472000909478156,0.008975530462703924
p23447_i0,0.18009874201190712,0.013744355603967572
p23448_i0,0.15783491805704997,0.009000929964708252
p23449_i0,-0.08862751102673727,0.0055595107790944055
p23450_i0,-0.00012985584515781343,9.814423063509905e-05
p23460_i0,1.1709389656694436e-05,7.566703933731392e-05
p23461_i0,-6.053935165766314e-05,0.00018536403104328468
p23462_i0,0.00012038032251766168,3.042690694083009e-05
p23463_i0,7.874127855430561e-06,4.633166901190852e-06
p23470_i0,0.07756877499531178,0.015345237391342895
p23471_i0,0.05210776890389113,0.010436590089274783
p23472_i0,6.9446947000510045e-06,1.681038477934884e-05
p23473_i0,-4.0768833918408015e-05,6.945881596911439e-06
p23474_i0,-0.0001531006262626422,0.0001197664500211863
p23475_i0,-9.498305320060178e-06,4.3365858942525505e-06
p23476_i0,2.327619088339527e-05,1.0910055031701447e-05
p23477_i0,-1.0060379352236193e-05,2.962870088031591e-06
p23478_i0,4.3051125850817294e-05,8.382612453461727e-06
p23479_i0,-0.03948600263337454,0.0182689062138472
p23480_i0,-0.0013578210893153697,0.00041058840456953513
