pathway_name,sage_value,sage_value_sd
Aromatic amino acids,-8.792664362846144e-06,1.7129132351103046e-06
Branched-chain amino acids,-7.269372976593855e-05,2.395119225821233e-05
Chylomicrons and extremely large VLDL (particle diameters from 75 nm upwards),0.008325420548227973,0.00023442608524317505
IDL (average diameter 28.6 nm),0.02256689929700217,0.00039887633192374917
Large HDL (average diameter 12.1 nm),0.011987030096809882,0.0005932239374590021
Large LDL (average diameter 25.5 nm),-0.019286430898568126,0.0002730143537025457
Large VLDL (average diameter 53.6 nm),0.011977368454483377,0.00018844697940595086
Medium HDL (average diameter 10.9 nm),0.001446144855378027,0.00015905461067377896
Medium LDL (average diameter 23 nm),-0.00037048922314651125,2.618237273697425e-05
Medium VLDL (average diameter 44.5 nm),0.014627470722133785,0.00017438585804678748
Small HDL (average diameter 8.7 nm),-0.007155818827482611,0.00017248723827318572
Small LDL (average diameter 18.7 nm),-0.006169794525320893,7.980011626322371e-05
Small VLDL (average diameter 36.8 nm),0.011028446341781566,0.00013078244327458354
Very large HDL (average diameter 14.3 nm),0.0006843582573415954,5.806000097190437e-05
Very large VLDL (average diameter 64 nm),0.010898379148580144,0.00017067905143382492
Very small VLDL (average diameter 31.3 nm),0.006933777324459693,9.186956574549275e-05
p23400_i0,0.007658882790422297,0.00017329265916736866
p23401_i0,-0.008714288906554082,0.00013092850275556552
p23402_i0,0.020690411939833734,0.0002653906352319702
p23403_i0,0.030526253807148605,0.0003470613073938478
p23404_i0,0.01695739131445701,0.00029774698021512564
p23405_i0,-0.013126566173265719,0.00021787443331706271
p23406_i0,-0.00037718372643614486,3.4190594025858155e-05
p23407_i0,0.00484407662290217,9.9666924490516e-05
p23408_i0,0.045199683074857756,0.000672827781629138
p23409_i0,0.0005554297160478213,9.572276780234304e-06
p23410_i0,0.002300140699309264,3.9102534803413075e-05
p23411_i0,-0.011735892182453493,0.0001831259611758002
p23412_i0,0.022222576199250454,0.00025889140247007894
p23413_i0,-0.00788113805958534,0.00011357575980570203
p23414_i0,0.0004695912888456799,8.375279191824958e-05
p23415_i0,-0.0027864458662022946,8.517291584218856e-05
p23416_i0,0.013087401282792583,0.00015676256908449387
p23417_i0,0.007413395969199971,0.00011125722007924278
p23418_i0,-0.0007115051871196865,3.5026534925328824e-05
p23419_i0,0.004046825209283031,6.644633365291737e-05
p23420_i0,0.0006455218373674113,1.766087714887438e-05
p23421_i0,-0.0031916022026113634,5.5499289420135195e-05
p23422_i0,9.672834130208685e-05,1.1684398963436236e-05
p23423_i0,0.12081728449200077,0.0014377970459355596
p23424_i0,0.0704018970732112,0.0008925289422421778
p23425_i0,0.0583805581579978,0.0008141898220352141
p23426_i0,-0.0001215483458740144,8.965924703263685e-05
p23427_i0,5.065028124804767e-05,1.5358358263368787e-06
p23428_i0,4.1035231221595865e-06,4.896743112166893e-08
p23429_i0,2.262719017828009e-05,2.953220744710872e-07
p23430_i0,5.85727193243339e-06,5.648231930069421e-07
p23431_i0,-0.03690878033843504,0.0006733674003529738
p23432_i0,-5.779976069235799e-05,1.0115861008290315e-05
p23433_i0,0.0011147224782872868,3.9798843563658305e-05
p23434_i0,-0.0018904193086807847,5.866346384698037e-05
p23436_i0,-0.0011220099785005414,4.191824652573089e-05
p23437_i0,0.00977945269954974,0.00017680137714885577
p23438_i0,-0.0005317737605281164,1.27010192676033e-05
p23439_i0,0.0044585461987135325,6.041469257339776e-05
p23440_i0,-0.0017386959142504195,0.00014584208210512443
p23442_i0,-0.07678636092693107,0.0011794382730179887
p23443_i0,-4.7714867254807815e-05,1.5234343094548798e-05
p23444_i0,-0.019082498114437685,0.0003309430148376343
p23445_i0,-0.05629358799674814,0.0007893973756839409
p23446_i0,-0.015928470681632972,0.0002325505823448739
p23447_i0,-0.051961580114681404,0.0008427909809447658
p23448_i0,0.03713883142589103,0.0005448554353856777
p23449_i0,0.020260425986903228,0.00031437889148823185
p23450_i0,-0.00010801432370728305,1.109335451711384e-05
p23460_i0,0.000625116366777518,2.075420431158959e-05
p23461_i0,0.00011420398691394685,1.4903820771049361e-05
p23462_i0,7.354968786119782e-05,5.762803294729018e-06
p23463_i0,-1.2710078336972814e-05,1.12179317556485e-06
p23470_i0,0.21727679068460232,0.010861603299868319
p23471_i0,0.017658061104376954,0.0007792049549855064
p23472_i0,-3.205771553602149e-05,8.642449956234826e-06
p23473_i0,3.67332027105256e-05,1.232778511349958e-06
p23474_i0,0.00016018719064172325,7.625609233996542e-05
p23475_i0,2.2254202739594957e-06,1.7187479006807045e-06
p23476_i0,5.364362368162659e-06,3.0405923857490075e-06
p23477_i0,5.248152346773601e-06,1.7822812381214785e-06
p23478_i0,2.85269096064974e-05,1.0843572795035192e-06
p23479_i0,0.08562768632177736,0.0015738114249493438
p23480_i0,-0.00041734048561758123,3.4076663287415197e-05
