metabolite_id,sage_value,sage_value_sd
p23400_i0,0.02068170163946035,0.00023491619056906107
p23401_i0,0.0004243568365084793,3.4945903629946936e-05
p23402_i0,-0.0068418027360113275,0.00010228147009613028
p23403_i0,-0.004688340181321187,8.053940229805162e-05
p23404_i0,-0.0018406698842423316,4.9400197270637984e-05
p23405_i0,-0.002097779910465077,4.581640130659843e-05
p23406_i0,0.013918556331453896,0.00010962583653679072
p23407_i0,0.016799196826840845,0.0002435667077406575
p23408_i0,0.0022266915217616676,4.5613227043272114e-05
p23409_i0,0.0012194199848596238,1.6205224910433988e-05
p23410_i0,0.0020447912514735558,1.9929843904471405e-05
p23411_i0,0.032731606807229474,0.0002458413679758128
p23412_i0,0.001258847706565403,2.3323750078602918e-05
p23413_i0,-0.001845136564900808,3.52212709369357e-05
p23414_i0,0.02615494352513863,0.00017726743605438595
p23415_i0,0.01039745823956092,0.00011547097587107548
p23416_i0,0.00014176255219233009,7.492678472946394e-06
p23417_i0,-0.005896266324586953,9.248226656969562e-05
p23418_i0,0.006411122994710879,5.281117210381688e-05
p23419_i0,0.004899931218510455,6.012323656109767e-05
p23420_i0,0.0034076220906241535,5.8825064644468374e-05
p23421_i0,-0.00021816649310189747,1.0170902312873383e-05
p23422_i0,0.0013290914658331226,1.0620771932126364e-05
p23423_i0,-0.04054709320383977,0.00038232451725108286
p23424_i0,0.005054029751545919,9.747749692694767e-05
p23425_i0,-0.0035875065192913615,7.004996453003042e-05
p23426_i0,0.034376713100856555,0.00024080881906766923
p23427_i0,-0.00013386376483016824,1.0119683230707916e-06
p23428_i0,-3.398855743703544e-07,5.161531061650755e-09
p23429_i0,-1.1760005031095174e-06,3.078102899104794e-08
p23430_i0,-7.976480659669737e-05,6.05308675104104e-07
p23431_i0,0.01952037035075706,0.000532265490580734
p23432_i0,-5.180207255198697e-05,3.030751892760651e-05
p23433_i0,-0.006044264833962682,6.153810097616587e-05
p23434_i0,0.023205063771391726,0.00017051041976406386
p23436_i0,0.02175182398887821,0.00016663299748584796
p23437_i0,0.035289824323323664,0.00025347984442564955
p23438_i0,-0.0007591067525026896,9.109330269815701e-06
p23439_i0,-0.00304363308248474,6.293135859870517e-05
p23440_i0,0.022528837892557396,0.00015510724099835428
p23442_i0,0.01937522205853374,0.00020590987544190863
p23443_i0,-7.573771131168026e-05,1.9207052171979933e-05
p23444_i0,-0.012099731246132568,0.00016497918510081862
p23445_i0,-0.015665160068644754,0.00015654476043261528
p23446_i0,-0.042835773476779956,0.00041425972633335066
p23447_i0,-0.03570645619512557,0.00040439642896949936
p23448_i0,0.028315220400321625,0.00026945240465459363
p23449_i0,0.028590406422443867,0.00027304306103840577
p23450_i0,-0.0003601157673763774,9.548634475640789e-06
p23460_i0,-1.70943053598992e-05,7.625436943289935e-06
p23461_i0,0.00016694111842338626,6.06631791717709e-06
p23462_i0,-1.9862239255266546e-05,1.71417364920438e-06
p23463_i0,-1.3938447309673686e-05,4.422045916533563e-07
p23464_i0,3.475571395269679e-05,5.584883453860945e-06
p23465_i0,-2.7260031540555866e-05,1.2457759553450725e-06
p23466_i0,-4.304686230524178e-06,1.8381780261027705e-06
p23467_i0,9.427804344595199e-05,3.016752875764386e-06
p23468_i0,-1.1033984887990769e-05,7.032147896659477e-07
