pathway_name,sage_value,sage_value_sd
Aromatic amino acids,-2.4287738583173204e-07,6.514157105157641e-06
Branched-chain amino acids,0.0013180306757211136,0.00010269422469619882
Chylomicrons and extremely large VLDL (particle diameters from 75 nm upwards),0.018500698095942732,0.0007892100656474356
IDL (average diameter 28.6 nm),-0.020117902143127815,0.0012588328541532033
Large HDL (average diameter 12.1 nm),0.04038242950730085,0.002872866863307055
Large LDL (average diameter 25.5 nm),0.01107272449207696,0.0005128186610531408
Large VLDL (average diameter 53.6 nm),0.03569132503567566,0.0010210426982398021
Medium HDL (average diameter 10.9 nm),-0.0022328100653451954,0.0006947404040930782
Medium LDL (average diameter 23 nm),0.0067820354203459955,0.00026868181985480725
Medium VLDL (average diameter 44.5 nm),0.02592361444905838,0.0007834028198562837
Small HDL (average diameter 8.7 nm),0.010067281355640223,0.0005012694764605086
Small LDL (average diameter 18.7 nm),0.004561628745228106,0.00014060896637054123
Small VLDL (average diameter 36.8 nm),0.01670411638719368,0.0005206750555888136
Very large HDL (average diameter 14.3 nm),0.010091871913466095,0.0007922159848210992
Very large VLDL (average diameter 64 nm),0.015629854110627495,0.0005276201109860888
Very small VLDL (average diameter 31.3 nm),-9.06132933227761e-05,0.00011898264348627409
p23400_i0,0.02977674943484389,0.0014230599144695298
p23401_i0,0.03233603087347982,0.0012535292073152882
p23402_i0,-0.036930827910600934,0.0014218173555471255
p23403_i0,0.014823779174149706,0.00047928096792593353
p23404_i0,0.03143909600175311,0.0014012705470317173
p23405_i0,0.003182251933576123,0.0002799950485634672
p23406_i0,0.010247090894879487,0.0011210851953886473
p23407_i0,0.07772083825903817,0.002187006519122524
p23408_i0,0.0343569823947556,0.001030242410713565
p23409_i0,4.085013234598538e-05,3.0406127999539794e-05
p23410_i0,-0.0023749357592584173,8.343699421683296e-05
p23411_i0,-0.01578398003083693,0.000716869209615111
p23412_i0,0.012283044427376861,0.0003745718578472074
p23413_i0,0.006638626518621065,0.00026089717068386836
p23414_i0,-0.001864266412883334,0.0007120386269097149
p23415_i0,-0.003349736413647945,0.00033735565213054435
p23416_i0,-0.004891758503756636,0.0001853797784568782
p23417_i0,0.017951226634430533,0.0006843495831408096
p23418_i0,0.002808500538940079,0.0002645104783737505
p23419_i0,0.003265871113351997,0.00017772080887795816
p23420_i0,-0.005454637907964078,0.00017602208571684957
p23421_i0,0.0033095707607555818,0.0001634676879640612
p23422_i0,0.00043359572663823856,0.00010522793419680454
p23423_i0,-0.02188942835564846,0.0010078783113711691
p23424_i0,-0.044679991542756356,0.001323055255363992
p23425_i0,-0.023817279497562977,0.000933651143007955
p23426_i0,0.0008186321953340085,0.0005667168023609927
p23427_i0,-3.8059905532465704e-06,1.4649105846164536e-06
p23428_i0,-3.511070485078276e-06,1.1211726681539636e-07
p23429_i0,-2.419872998809182e-05,8.827547423655914e-07
p23430_i0,3.7881860410149777e-05,3.968600421967897e-06
p23431_i0,0.17462169181186432,0.005304542855264198
p23432_i0,0.0066852409006450874,0.0006692412780561468
p23433_i0,0.02034050930281814,0.0010879724057567112
p23434_i0,0.02795442985585225,0.0012618128008715988
p23436_i0,-0.017915387744881377,0.0009669281602968185
p23437_i0,-0.006880749174310756,0.0004279936239535834
p23438_i0,0.00011252041219115138,3.8244293271745744e-05
p23439_i0,0.020476713307091804,0.0007354319571701887
p23440_i0,-0.0004893364087399674,0.00010354107884237427
p23442_i0,0.15876125163280347,0.004674066338902147
p23443_i0,0.00018181590497482614,4.839473225385028e-05
p23444_i0,0.040229466769395775,0.0017260218615225134
p23445_i0,0.03264872222181164,0.001137397682938639
p23446_i0,0.06035541219591093,0.0021320060266431153
p23447_i0,0.03173640528540135,0.0016677661623559735
p23448_i0,0.023744736757880018,0.0010145069587589209
p23449_i0,-0.09399395984166206,0.0034725731934617176
p23450_i0,0.0012518272401494193,0.00010456709445951203
p23460_i0,-0.0006401135523774591,5.001726723462901e-05
p23461_i0,-0.0001535004600088759,4.049445310327595e-05
p23462_i0,0.00010701104459974396,2.6323040832976125e-05
p23463_i0,9.963322867776074e-06,3.309780629695078e-06
p23470_i0,0.019203176393664836,0.007821536349434033
p23471_i0,0.13759436991283103,0.006821140004048717
p23472_i0,-7.37364244569429e-05,7.025402526687263e-05
p23473_i0,-1.666374078606058e-05,3.1713722917232427e-06
p23474_i0,0.00017389534993032777,4.6397379832436496e-05
p23475_i0,-8.001994985902462e-06,1.0591261322609023e-05
p23476_i0,7.664240403738335e-06,6.441452241623454e-06
p23477_i0,1.2579304807485558e-05,2.1668952308334764e-06
p23478_i0,-1.886279670155627e-05,3.545377437750809e-06
p23479_i0,0.1230252315039575,0.006223601201741711
p23480_i0,0.0005580236920482617,0.00011359051369850378
