pathway_name,sage_value,sage_value_sd
Amino acids,-0.002259034039966667,0.0007494408565450961
Apolipoproteins,0.01281350970313988,0.0015733556106243998
Cholesterol,0.16840314760985764,0.013804008821026946
Cholesteryl esters,-0.015182681835605782,0.004676785806423005
Fatty acids,2.107551515045294,0.09842074754604001
Fluid balance,0.010709302195569106,0.001931338141877372
Free cholesterol,0.011738717049821878,0.002037723294367334
Glycolysis related metabolites,0.022519431674333415,0.00823318684303436
Inflammation,0.009232584456676955,0.0008498478047577265
Ketone bodies,0.0009118293564934548,0.00045133877180674245
Lipoprotein particle concentrations,-1.984417147332608e-05,1.5888259722606904e-05
Lipoprotein particle sizes,0.2296933084311692,0.02999413613257132
Lipoprotein subclasses,-0.2777687782091163,0.031209595815890827
Other lipids,-0.05540308975212388,0.012910088149993941
Phospholipids,-0.08977620480566503,0.008824499483180636
Total lipids,-0.715474119953859,0.06687517734414915
Triglycerides,-0.04475029740364084,0.0074485693060825885
