pathway_name,sage_value,sage_value_sd
Amino acids,0.40978049562125146,0.005051053587202238
Apolipoproteins,0.01868245041736661,0.0007326019128107441
Cholesterol,0.09063223629176924,0.004237290601313562
Cholesteryl esters,0.0013540590679336363,0.0008678457182725556
Fatty acids,-0.24130268819512343,0.020453280143038356
Fluid balance,0.019084667849817605,0.0008333894414414355
Free cholesterol,0.02379644465683828,0.0007326298208748854
Glycolysis related metabolites,0.003714223247525677,0.0023666928422098068
Inflammation,0.08808621795076804,0.0036070501413581787
Ketone bodies,0.08255117870730877,0.0026856259591560524
Lipoprotein particle concentrations,0.0003264542394540265,1.8563978868450592e-05
Lipoprotein particle sizes,-0.020477237526378794,0.004103475780797076
Lipoprotein subclasses,0.30227972517868884,0.0074622291997719515
Other lipids,0.16031633688513197,0.010558120605226621
Phospholipids,-0.013393734661702373,0.0024390134962617607
Total lipids,-0.034560142527967116,0.004276358249903639
Triglycerides,0.01334219643969899,0.0019290945569454875
