pathway_name,sage_value,sage_value_sd
Amino acids,0.03316284258566315,0.00037880518043035383
Apolipoproteins,0.0038150502754282036,0.0008520423196844874
Cholesterol,0.03737647707056313,0.0019139508250937563
Cholesteryl esters,0.0814148565916895,0.004411054626595386
Fatty acids,-0.30175648144439365,0.026243103772033483
Fluid balance,0.012507208321711203,0.0006506601976331856
Free cholesterol,0.010909407942466842,0.0007694522545981265
Glycolysis related metabolites,-0.0009096257783014706,0.0014028135630813642
Inflammation,0.004199973498071928,0.0003443838849684123
Ketone bodies,-0.001006804388688722,0.000126666704979825
Lipoprotein particle concentrations,-0.0003987589959051067,6.111965759695e-06
Lipoprotein particle sizes,0.19470056251961576,0.005640519222762312
Lipoprotein subclasses,0.525502347594575,0.009395709663076549
Other lipids,-0.058665822845065434,0.007995107675751907
Phospholipids,0.021118403608128635,0.000875252893471609
Total lipids,0.3789831866410738,0.015187339340352757
Triglycerides,0.15977620977379187,0.008565529584101603
