pathway_name,sage_value,sage_value_sd
Amino acids,0.0006463877320070262,0.00018880373228302624
Apolipoproteins,0.006327037526279888,0.00048511823614100214
Cholesterol,0.18105269831126147,0.011135936236131573
Cholesteryl esters,0.011773544424361043,0.001105295945883804
Fatty acids,0.7836265974239325,0.035353821305773414
Fluid balance,-0.03413359466026833,0.019345485641574754
Free cholesterol,-0.01051513398172682,0.0006748618435500785
Glycolysis related metabolites,0.12456151437066243,0.016170519198974897
Inflammation,-0.0006156100022930017,0.00013210482909675606
Ketone bodies,-6.968330129160285e-05,0.00011207031624629284
Lipoprotein particle concentrations,3.469833888306657e-05,2.8403591609717687e-06
Lipoprotein particle sizes,-0.009224357054250537,0.0011604441992468057
Lipoprotein subclasses,-0.08150629765613937,0.007152260971144255
Other lipids,0.0015338307563814157,0.00046200589735944704
Phospholipids,-0.02536492542290031,0.0019237481843310093
Total lipids,0.3088964181183824,0.016225637678198082
Triglycerides,-0.040803852828539044,0.002873201339698218
