pathway_name,sage_value,sage_value_sd
Aromatic amino acids,0.0017547114323565145,3.600081095219305e-05
Branched-chain amino acids,0.13704398503152979,0.0023556714464243646
Chylomicrons and extremely large VLDL (particle diameters from 75 nm upwards),-0.01915452600905297,0.008268488781056524
IDL (average diameter 28.6 nm),0.025442128397397925,0.0008808424810112634
Large HDL (average diameter 12.1 nm),0.03209811320741192,0.0035168695312171724
Large LDL (average diameter 25.5 nm),0.07288123148356489,0.0036173183759246556
Large VLDL (average diameter 53.6 nm),-0.023055994223777992,0.0005125171716570269
Medium HDL (average diameter 10.9 nm),-0.0010728542069591838,0.0006940276805610205
Medium LDL (average diameter 23 nm),-0.001250602925702568,0.00039907516912556255
Medium VLDL (average diameter 44.5 nm),0.04036967839896736,0.0016342655942222105
Small HDL (average diameter 8.7 nm),0.002142725114981282,0.0007950889486718271
Small LDL (average diameter 18.7 nm),0.008243509909786546,0.00026042502234503565
Small VLDL (average diameter 36.8 nm),0.039711033761976516,0.0017106973877001174
Very large HDL (average diameter 14.3 nm),0.0033948841058643532,0.00026969234814257963
Very large VLDL (average diameter 64 nm),-0.02527716557936307,0.0008461844024725128
Very small VLDL (average diameter 31.3 nm),0.04234018025602606,0.0018866333472075138
p23400_i0,0.011079278248197669,0.003847039348938411
p23401_i0,0.03348077474962677,0.0007334143523658884
p23402_i0,0.004382451113057327,0.0013838335903272395
p23403_i0,0.011134186871640861,0.00039304703831300787
p23404_i0,-0.04891546875144996,0.0018827949202576766
p23405_i0,0.11094521802106912,0.0042074821104581715
p23406_i0,-0.013865983775127615,0.001287937715498965
p23407_i0,-0.035451337851946534,0.0011956689206925892
p23408_i0,-0.06231994694751069,0.001679063193891695
p23409_i0,0.013687126370625628,0.0006642192182794003
p23410_i0,0.017202311954134086,0.0009236531962294232
p23411_i0,-0.00784085370321217,0.0023352136494766795
p23412_i0,0.0032313501208529015,0.000315950806268451
p23413_i0,-0.008441203294972641,0.0006394667897795052
p23414_i0,0.006967619610206109,0.0006757604027185961
p23415_i0,0.00850408030758875,0.0005588112925350347
p23416_i0,-0.008062092071949224,0.0003341833026132331
p23417_i0,0.004745924863235024,0.0006339183971972245
p23418_i0,-0.005262873919081336,0.0007789184218076194
p23419_i0,0.0015932508746914847,0.0003486141867230563
p23420_i0,-0.0017611241226506518,0.00016758463187053615
p23421_i0,-0.0008947768289706755,0.00023523931685592625
p23422_i0,0.011047117421461543,0.0006196202625171217
p23423_i0,-0.16168199289854548,0.004899831658370599
p23424_i0,-0.008597056468904796,0.0011658205502311971
p23425_i0,-0.0374367481800264,0.0008694295454437788
p23426_i0,-0.009286805094088961,0.00044080147969714756
p23427_i0,-7.557419016182508e-05,4.706536502544565e-06
p23428_i0,7.147595473580584e-06,3.0052634268167896e-07
p23429_i0,-3.3435341585119186e-05,1.2753500915609302e-06
p23430_i0,-0.00011526387783724655,1.4329379989538038e-05
p23431_i0,0.07778439903333803,0.004942189399422793
p23432_i0,-0.009195791549706284,0.0006111037991353861
p23433_i0,-0.0005592247924610691,0.0005814797426784132
p23434_i0,0.018977311078169783,0.0019227395737503902
p23436_i0,0.03608156281528789,0.0023622560304004283
p23437_i0,0.11894727090037979,0.006885438392593789
p23438_i0,0.012399234728770444,0.0003124464280881029
p23439_i0,0.013592131443145663,0.0009380208719341661
p23440_i0,-0.015797284071230776,0.0006995574518235658
p23442_i0,0.11459084485078874,0.008945780931858978
p23443_i0,-0.0016242933398737823,0.000732547318067245
p23444_i0,0.008384421733781065,0.0008512730136879351
p23445_i0,-0.2854968131639709,0.012956310805423282
p23446_i0,-0.15610338032707352,0.011039885176311727
p23447_i0,0.35827450902834346,0.0179037157291098
p23448_i0,-0.11548266261446741,0.015541576273444444
p23449_i0,0.04577925846364823,0.005686108882579573
p23450_i0,0.012273860351061198,0.0006389728873084428
p23460_i0,0.1876351738400267,0.002962424496812857
p23461_i0,0.08235932526452075,0.001539015310274015
p23462_i0,0.029473237377223946,0.0009156738763275728
p23463_i0,0.00036527506748466795,1.3506824725286908e-05
p23470_i0,-0.017937600711917558,0.0025738687396258332
p23471_i0,0.0057281791304851825,0.0007596504257058692
p23472_i0,-0.0005902208018084542,0.0002508841092257958
p23473_i0,0.0006729245703876862,3.23455743524913e-05
p23474_i0,0.08489137227579524,0.002376531098257421
p23475_i0,-2.2543672633096354e-05,4.4408113236457285e-05
p23476_i0,0.004492775013985274,0.00019850322043399215
p23477_i0,0.001325309089786391,5.8657047245697586e-05
p23478_i0,0.000913097500945479,2.8161648048316927e-05
p23479_i0,-0.00730057108466654,0.0009786955858523802
p23480_i0,0.14178035983932852,0.0041906327782073385
