pathway_name,sage_value,sage_value_sd
Aromatic amino acids,1.3418165385058028e-06,2.700598058250979e-06
Branched-chain amino acids,0.000263120859985817,3.5455568264196555e-05
Chylomicrons and extremely large VLDL (particle diameters from 75 nm upwards),0.00284340161884752,0.0005142208728326163
IDL (average diameter 28.6 nm),0.00935593658321291,0.0003420911860401446
Large HDL (average diameter 12.1 nm),-0.0004304511259190065,9.528204860050336e-05
Large LDL (average diameter 25.5 nm),0.06847245298090945,0.0018976595001474657
Large VLDL (average diameter 53.6 nm),-0.0008870468410141475,0.0002414645305076148
Medium HDL (average diameter 10.9 nm),0.001127875394734265,7.913138493511154e-05
Medium LDL (average diameter 23 nm),0.009475675071849123,0.00031497186882219186
Medium VLDL (average diameter 44.5 nm),-0.004527113963878171,0.0002672600318517954
Small HDL (average diameter 8.7 nm),0.004267956487805956,0.000263957806287613
Small LDL (average diameter 18.7 nm),0.003594943017379937,0.00011651541023146302
Small VLDL (average diameter 36.8 nm),-0.0042608607783561885,0.00023417328743114614
Very large HDL (average diameter 14.3 nm),-6.667505831625782e-05,2.0313029175783185e-05
Very large VLDL (average diameter 64 nm),0.0006191378856183696,0.0003358428269605097
Very small VLDL (average diameter 31.3 nm),-0.0027632530880959513,0.00010256293532039943
p23400_i0,0.025365629696682282,0.0007691177078804047
p23401_i0,0.05906622927036963,0.0016996632815183047
p23402_i0,0.01000586002409262,0.0003348540783816285
p23403_i0,-0.003178563952361608,0.00015586650308566186
p23404_i0,0.043872251144970224,0.001276206008110689
p23405_i0,0.020598993071886413,0.0006201813859079008
p23406_i0,0.0014830565091619452,9.519104378772212e-05
p23407_i0,-0.0016591630315778022,0.00167641075682388
p23408_i0,-0.0024354845864192408,0.001301894556798788
p23409_i0,-5.988423875386634e-05,1.586384873821781e-05
p23410_i0,9.418998988903706e-05,7.267847948331754e-05
p23411_i0,-0.02106007555255904,0.000807636551596533
p23412_i0,-0.001032812468276591,7.954666244133266e-05
p23413_i0,0.005741315003928058,0.00016957778032578827
p23414_i0,0.006062589397328274,0.0004797712049293011
p23415_i0,0.04157432276327004,0.0012314625845127344
p23416_i0,-0.00582150458897717,0.00020470268710258088
p23417_i0,0.019175901121101825,0.0005583629381411154
p23418_i0,0.002000529066552811,0.00011325529039352644
p23419_i0,0.00020956793168384996,6.490104322218806e-05
p23420_i0,-0.00031796446190212354,3.3343222416354346e-05
p23421_i0,0.00726021701094333,0.00020583901430160645
p23422_i0,-0.0005527676750414975,2.981086026038861e-05
p23423_i0,0.033957888190517475,0.001286250646502451
p23424_i0,-0.008031340218091855,0.0009710179588885244
p23425_i0,0.009927759058920491,0.00032274984686778016
p23426_i0,-0.008553831670976812,0.0005821887178221993
p23427_i0,3.6983247102637276e-05,1.6798803865902157e-06
p23428_i0,-6.842645136364829e-07,3.2028190088380247e-08
p23429_i0,-1.8614821316367157e-06,8.714113124644615e-08
p23430_i0,6.848394243867737e-05,3.418964613960073e-06
p23431_i0,-0.006483753939620999,0.0015409010566661818
p23432_i0,-0.0006239798706673528,3.5648457301056196e-05
p23433_i0,-0.0005783331708815368,8.377471356512657e-05
p23434_i0,-0.00029256698934491206,0.00010003615075143719
p23436_i0,0.0036052655373625185,0.00018218619984245357
p23437_i0,-0.005809455280616261,0.0002530903541955697
p23438_i0,0.00048082325122831757,2.3290426627165682e-05
p23439_i0,0.010099072579261998,0.0003181374239553995
p23440_i0,0.00037791012284410296,5.837626397954171e-05
p23442_i0,-0.019762680729633095,0.00155596536906219
p23443_i0,0.001772407625022405,9.013518155341198e-05
p23444_i0,0.021397095627238356,0.0011545780183117682
p23445_i0,0.03060559055128776,0.001162185681123333
p23446_i0,0.08613872265671017,0.0028736340369459917
p23447_i0,0.002204262169767409,0.00046341098025528367
p23448_i0,-0.017621648024527925,0.0017971222144015466
p23449_i0,-0.050822596383354846,0.002070899959260469
p23450_i0,0.001958697164563923,8.368662199284694e-05
p23460_i0,5.147300883785786e-06,2.4109428508206758e-05
p23461_i0,-8.20258043758261e-05,2.2717420733988115e-05
p23462_i0,-5.974740663333711e-06,9.917688430177597e-06
p23463_i0,-2.371730437524645e-06,1.412011704754861e-06
p23470_i0,-8.498364391952188e-05,0.00010084931720625858
p23471_i0,0.008375187511749892,0.0011792999390834718
p23472_i0,7.925855470732812e-06,6.785076665018339e-06
p23473_i0,-9.761227983836628e-06,1.964350861583568e-06
p23474_i0,-5.345528494575642e-06,3.2562395955344566e-05
p23475_i0,-2.2087647007786484e-06,3.6547850700362204e-06
p23476_i0,-4.539157308685161e-06,3.2612324346723632e-06
p23477_i0,-2.980359436604862e-06,9.784469831265307e-07
p23478_i0,1.591390873619131e-05,2.7941748619760827e-06
p23479_i0,0.012486908097039135,0.0042015896859827805
p23480_i0,-0.000241676814316486,6.214233180638288e-05
